Source,new_grouping,major_group
Miscellaneous industrial/commercial combustion,Miscellaneous industrial/commercial combustion,Miscellaneous industrial/commercial combustion
Power stations,Power stations,Public electricity and heat production
Heat supply,Heat supply,Public electricity and heat production
Refineries - combustion,Refineries,Refineries
Coke production,Coke production,Manufacture of solid fuels and other energy industries
Collieries - combustion,Collieries,Manufacture of solid fuels and other energy industries
Gas production,Gas production,Manufacture of solid fuels and other energy industries
Nuclear fuel production,Nuclear fuel production,Manufacture of solid fuels and other energy industries
Upstream Oil Production - fuel combustion,Upstream Oil Production,Manufacture of solid fuels and other energy industries
Oil terminal: fuel combustion,Oil terminal,Manufacture of solid fuels and other energy industries
Gas terminal: fuel combustion,Gas terminal,Manufacture of solid fuels and other energy industries
Upstream Gas Production - fuel combustion,Upstream Gas Production,Manufacture of solid fuels and other energy industries
Blast furnaces,Blast furnaces,Manufacturing Industries and Construction
Sinter production,Sinter production,Manufacturing Industries and Construction
Iron and steel - combustion plant,Iron and steel,Manufacturing Industries and Construction
Autogenerators,Autogenerators,Manufacturing Industries and Construction
Autogeneration - exported to grid,Autogenerators,Manufacturing Industries and Construction
Non-Ferrous Metal (combustion),Non-Ferrous Metal,Manufacturing Industries and Construction
Ammonia production - combustion,Ammonia production,Manufacturing Industries and Construction
Chemicals (combustion),Chemicals,Manufacturing Industries and Construction
Methanol production - combustion,Methanol production,Manufacturing Industries and Construction
"Pulp, Paper and Print (combustion)","Pulp, Paper and Print",Manufacturing Industries and Construction
"Food & drink, tobacco (combustion)","Food & drink, tobacco",Manufacturing Industries and Construction
Lime production - non decarbonising,Lime production,Manufacturing Industries and Construction
Cement - non-decarbonising,Cement,Manufacturing Industries and Construction
Mineral products (other): combustion,Mineral products (other),Manufacturing Industries and Construction
NRMM: Construction,NRMM,NRMM
NRMM: Generators,NRMM,NRMM
NRMM: Mining and Quarrying,NRMM,NRMM
NRMM: Other Industry,NRMM,NRMM
NRMM: Waste,NRMM,NRMM
Other industrial combustion,Other industrial combustion,Manufacturing Industries and Construction
Mechanical Engineering (combustion),Mechanical Engineering,Manufacturing Industries and Construction
Aircraft - international take off and landing,Aircraft,Aircraft
Aircraft between UK and CDs - TOL,Aircraft,Aircraft
Aircraft between UK and Gibraltar - TOL,Aircraft,Aircraft
Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aircraft,Aircraft
Aircraft between UK and Bermuda - TOL,Aircraft,Aircraft
Aircraft - domestic take off and landing,Aircraft,Aircraft
Road transport - cars - rural driving,Road transport - cars,Road transport
