"","NFR_group","Source","Activity","year","overarching_sector","nox_emissions_kilotonnes","activity_TJ","Units_Nitrogen oxides (NOx expressed as NO2)","Units_Activity Data","g_kwh","new_grouping","major_group"
"1","1A1a","Miscellaneous industrial/commercial combustion","MSW",1990-01-01,"1A1",0.574340817,2121.87024,"kilotonne","TJ (net)",0.974358141842103,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"2","1A1a","Miscellaneous industrial/commercial combustion","MSW",1991-01-01,"1A1",0.608452219,2247.89292,"kilotonne","TJ (net)",0.974358141658521,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"3","1A1a","Miscellaneous industrial/commercial combustion","MSW",1992-01-01,"1A1",0.637010602,2353.40028,"kilotonne","TJ (net)",0.97435814141323,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"4","1A1a","Miscellaneous industrial/commercial combustion","MSW",1993-01-01,"1A1",0.651289794,2406.15396,"kilotonne","TJ (net)",0.974358142046673,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"5","1A1a","Miscellaneous industrial/commercial combustion","MSW",1994-01-01,"1A1",0.717132733,2649.40704,"kilotonne","TJ (net)",0.974358142074806,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"6","1A1a","Miscellaneous industrial/commercial combustion","MSW",1995-01-01,"1A1",0.792495133,2927.82924,"kilotonne","TJ (net)",0.974358142027205,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"7","1A1a","Miscellaneous industrial/commercial combustion","MSW",1996-01-01,"1A1",0.753148027,2782.463544,"kilotonne","TJ (net)",0.974358141642328,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"8","1A1a","Miscellaneous industrial/commercial combustion","MSW",1997-01-01,"1A1",0.455963051,1797.435108,"kilotonne","TJ (net)",0.913154343898495,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"9","1A1a","Miscellaneous industrial/commercial combustion","MSW",1998-01-01,"1A1",0.477570644,1899.13248,"kilotonne","TJ (net)",0.905211620127141,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"10","1A1a","Miscellaneous industrial/commercial combustion","MSW",1999-01-01,"1A1",0.402388277,2035.41282,"kilotonne","TJ (net)",0.711640363278496,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"11","1A1a","Miscellaneous industrial/commercial combustion","MSW",2000-01-01,"1A1",0.637096048,2962.119132,"kilotonne","TJ (net)",0.774230272861185,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"12","1A1a","Miscellaneous industrial/commercial combustion","MSW",2001-01-01,"1A1",0.664714294,3134.154744,"kilotonne","TJ (net)",0.763453061970804,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"13","1A1a","Miscellaneous industrial/commercial combustion","MSW",2002-01-01,"1A1",0.693745635,3691.585296,"kilotonne","TJ (net)",0.676480238976372,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"14","1A1a","Miscellaneous industrial/commercial combustion","MSW",2003-01-01,"1A1",0.866173029,4421.344536,"kilotonne","TJ (net)",0.705209340990086,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"15","1A1a","Miscellaneous industrial/commercial combustion","MSW",2004-01-01,"1A1",0.890553572,4378.848516,"kilotonne","TJ (net)",0.732095752701754,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"16","1A1a","Miscellaneous industrial/commercial combustion","MSW",2005-01-01,"1A1",0.801193209,4723.798968,"kilotonne","TJ (net)",0.610539281360422,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"17","1A1a","Miscellaneous industrial/commercial combustion","MSW",2006-01-01,"1A1",0.502324043,4259.273508,"kilotonne","TJ (net)",0.424537633859844,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"18","1A1a","Miscellaneous industrial/commercial combustion","MSW",2007-01-01,"1A1",0.621314462,5012.771904,"kilotonne","TJ (net)",0.446170937313984,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"19","1A1a","Miscellaneous industrial/commercial combustion","MSW",2008-01-01,"1A1",0.68681537,5427.76752,"kilotonne","TJ (net)",0.45549805438174,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"20","1A1a","Miscellaneous industrial/commercial combustion","MSW",2009-01-01,"1A1",0.579882707,5143.776876,"kilotonne","TJ (net)",0.40581284971347,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"21","1A1a","Miscellaneous industrial/commercial combustion","MSW",2010-01-01,"1A1",0.643399637,4847.770116,"kilotonne","TJ (net)",0.47775644337655,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"22","1A1a","Miscellaneous industrial/commercial combustion","MSW",2011-01-01,"1A1",0.903058267,5426.888292,"kilotonne","TJ (net)",0.59900803670788,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"23","1A1a","Miscellaneous industrial/commercial combustion","MSW",2012-01-01,"1A1",0.874770227,5079.377786,"kilotonne","TJ (net)",0.619942252022858,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"24","1A1a","Miscellaneous industrial/commercial combustion","MSW",2013-01-01,"1A1",0.951287491,5365.141806,"kilotonne","TJ (net)",0.638261045568066,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"25","1A1a","Miscellaneous industrial/commercial combustion","MSW",2014-01-01,"1A1",0.913414963,5298.521004,"kilotonne","TJ (net)",0.620556344280192,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"26","1A1a","Miscellaneous industrial/commercial combustion","MSW",2015-01-01,"1A1",0.968236164,5981.974236,"kilotonne","TJ (net)",0.582645665659324,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"27","1A1a","Miscellaneous industrial/commercial combustion","MSW",2016-01-01,"1A1",0.95730789,6250.138776,"kilotonne","TJ (net)",0.551352993091091,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"28","1A1a","Miscellaneous industrial/commercial combustion","MSW",2017-01-01,"1A1",1.036402338,7657.489728,"kilotonne","TJ (net)",0.48720273736206,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"29","1A1a","Miscellaneous industrial/commercial combustion","MSW",2018-01-01,"1A1",0.979392154,7560.481572,"kilotonne","TJ (net)",0.466310205037695,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"30","1A1a","Miscellaneous industrial/commercial combustion","MSW",2019-01-01,"1A1",1.01770761,7324.848468,"kilotonne","TJ (net)",0.500140628937094,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"31","1A1a","Miscellaneous industrial/commercial combustion","MSW",2020-01-01,"1A1",1.276933733,8503.393499,"kilotonne","TJ (net)",0.540559920206404,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"32","1A1a","Miscellaneous industrial/commercial combustion","MSW",2021-01-01,"1A1",1.540701402,10235.97238,"kilotonne","TJ (net)",0.54182261877998,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"33","1A1a","Miscellaneous industrial/commercial combustion","MSW",2022-01-01,"1A1",1.544586349,9269.969682,"kilotonne","TJ (net)",0.599793337179105,"Miscellaneous industrial/commercial combustion","Miscellaneous industrial/commercial combustion"
"34","1A1a","Power stations","Coal",1990-01-01,"1A1",651.9933487,2008422.33,"kilotonne","TJ (net)",1.16857309401469,"Power stations","Public electricity and heat production"
"35","1A1a","Power stations","Coal",1991-01-01,"1A1",598.7669778,1995431.021,"kilotonne","TJ (net)",1.08016196315557,"Power stations","Public electricity and heat production"
"36","1A1a","Power stations","Coal",1992-01-01,"1A1",571.8259032,1873011.044,"kilotonne","TJ (net)",1.09898368481467,"Power stations","Public electricity and heat production"
"37","1A1a","Power stations","Coal",1993-01-01,"1A1",476.2664516,1559346.347,"kilotonne","TJ (net)",1.09944918605965,"Power stations","Public electricity and heat production"
"38","1A1a","Power stations","Coal",1994-01-01,"1A1",477.3208866,1475511.045,"kilotonne","TJ (net)",1.16448991701126,"Power stations","Public electricity and heat production"
"39","1A1a","Power stations","Coal",1995-01-01,"1A1",443.9443988,1409654.353,"kilotonne","TJ (net)",1.13366229566831,"Power stations","Public electricity and heat production"
