Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nitrogen oxides (NOx expressed as NO2),1A1a,Miscellaneous industrial/commercial combustion,MSW,kilotonne,0.574340817,0.608452219,0.637010602,0.651289794,0.717132733,0.792495133,0.753148027,0.455963051,0.477570644,0.402388277,0.637096048,0.664714294,0.693745635,0.866173029,0.890553572,0.801193209,0.502324043,0.621314462,0.68681537,0.579882707,0.643399637,0.903058267,0.874770227,0.951287491,0.913414963,0.968236164,0.95730789,1.036402338,0.979392154,1.01770761,1.276933733,1.540701402,1.544586349
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Coal,kilotonne,651.9933487,598.7669778,571.8259032,476.2664516,477.3208866,443.9443988,386.4989292,299.1575635,298.3374336,253.0493204,274.875397,310.5408216,291.1132845,328.9565249,297.4729754,315.4126245,336.39611,301.106455,212.0236551,180.8279765,175.2072743,174.8138519,231.7168937,216.2642262,163.4340338,127.7193679,51.56805286,35.92092943,23.1198434,10.87804386,7.975732436,5.631641789,4.098217821
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Fuel oil,kilotonne,59.7489022,44.31286164,28.28007466,25.62181909,19.37230985,18.28271944,17.77323881,7.237755405,5.625129301,6.149938928,5.867064811,6.554668271,4.942390043,4.540881855,5.116233779,5.919858544,7.23519465,6.031872653,8.089231508,5.510287287,3.944316531,2.628364775,2.686358791,2.562167987,2.478709778,2.599412122,2.466470982,1.950130632,1.789011366,1.314330327,1.164748129,1.073024896,0.624757547
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Gas oil,kilotonne,0.283564261,0.324135548,0.246734302,0.334319153,0.192375012,0.160642325,0.170204397,0.367102961,0.391223318,0.457358266,0.4055162,0.386073064,3.377578754,0.319521243,3.712258671,0.43957124,0.442223597,0.327085158,0.493601938,0.484882382,0.305904752,0.21953775,0.222654581,0.319608941,0.36151205,0.355760466,0.326251312,0.322916871,0.520846338,0.645948625,0.784660195,2.339541246,0.624167248
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Natural gas,kilotonne,0.014083337,0.032327659,0.440682448,11.22486207,14.60928906,17.10391512,21.62694056,33.27183994,37.28658474,38.47520647,42.46480748,38.96656817,40.41837771,38.14520805,39.33885147,39.55396381,35.64498747,41.3688966,46.956729,44.1741993,40.72343723,28.73658822,19.32521968,17.53719392,18.89164292,17.8785889,23.55081038,22.26670714,21.3894684,20.08237908,17.64118561,18.37876615,18.94651709
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Landfill gas,kilotonne,0.457815425,0.684715175,1.240920757,1.471836432,1.701748126,1.850337343,2.330240354,3.022987379,3.903478888,5.606230995,7.204067067,8.255134981,8.820175598,10.78797874,13.18367867,14.12782259,14.56897192,15.39986676,15.46281638,16.19250991,17.17821865,17.51123921,17.15060917,17.03916726,16.57352078,16.04321791,15.48570715,14.105735,12.8939297,8.690963218,8.383544176,7.944202005,7.436388316
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Sewage gas,kilotonne,1.040124518,1.080283766,1.080283766,1.24292872,1.187709754,1.351358689,1.351358689,1.342322858,1.270036212,1.351358689,1.208793359,1.194938419,1.210299331,1.129478845,1.246342256,1.534183665,1.464908962,1.625144361,1.805459384,1.985674008,2.38224658,2.551919402,2.431843251,2.522201559,2.766470184,2.945078439,3.129108192,3.185331139,3.266553217,2.340782157,2.381443395,2.336565436,2.250624646
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Orimulsion,kilotonne,2.11655315,3.413257488,9.995744596,11.11715119,8.744241034,8.868273265,7.738829734,1.700508196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,MSW,kilotonne,0.875325676,0.86222448,1.033959486,1.481758863,2.344665676,2.479947082,2.400783196,3.009193294,4.310067181,3.267998388,3.648468966,3.886821846,3.697633262,3.835306268,3.834080005,3.11351467,2.468024486,2.545434273,2.651613918,2.986042489,3.574538585,4.323018565,5.341690118,5.005273824,6.379667607,8.232043544,9.662680985,9.075486114,10.10420759,12.13711074,13.91678403,14.58804493,16.1693964
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Waste oils,kilotonne,1.077090785,1.017384602,1.007095867,1.064371193,1.087020201,1.250908462,1.20018592,1.088462685,0.971496726,0.974653156,1.018698102,1.108868101,1.175049872,1.253636223,1.364170483,1.637354594,-,-,-,0.50713186,0.60680771,0.537950567,0.450594055,0.759376954,0.899648133,0.755040544,0.646062975,0.806801194,0.739567395,0.865919874,0.756164507,0.755362875,0.652243013
