Brand,Name,Fuel Type,Date first produced,Power (kW),NOx Class ,NOx emissions (mg/kWh),Usage,Source,Notes,,,,,,,
Ideal,EVOMAX 2 30kW,NG,,30,6,34.1,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-30kw-spec-sheet.pdf,Commercial Boiler,,,,,,Commercial Oil boilers,https://www.flexiheatuk.com/product/condensing-oil-boiler-commercial-oil-boiler/
Ideal,EVOMAX 2 40kW,NG,,40,6,33.2,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-40kw-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 60kW,NG,,60,6,35.2,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-60kw-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 80kW,NG,,80,6,34.9,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-80kw-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 100kW,NG,,100,6,34.8,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-100kw-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 1200kW,NG,,120,6,33.9,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-120kw-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 150kW,NG,,150,6,35.7,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-150kw-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 30kW LPG,LPG,,30,6,52.3,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-30kw-lpg-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 40kW LPG,LPG,,40,6,64.4,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-40kw-lpg-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 60kW LPG,LPG,,60,6,67.7,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-60kw-lpg-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 80kW LPG,LPG,,80,6,34.9,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-60kw-lpg-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 100kW LPG,LPG,,100,6,65.3,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-60kw-lpg-spec-sheet.pdf,Commercial Boiler,,,,,,,
Ideal,EVOMAX 2 120kW LPG,LPG,,120,6,41.6,Commercial,https://idealcommercialboilers.com/uploads/documents/evomax-2-120kw-lpg-spec-sheet.pdf,Commercial Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Regular,NG,,35,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-regular,Regular Boiler,,,,,,,
Worcester Bosch,Greenstar Ri 30,NG,,30,,32,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-ri-27kw-and-30kw,Regular Boiler,,,,,,,
