 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
13AA006,13,Aviadvigatel,PS-90A,94-03-809,MTF,4.5,30.8,154.6,C,,,NME/DTEPS,Yes,,,0.1,0.13,0.79,1.32,4,4,3.0,,1.64,6.61,4.7,23.8,470,0.41,0.45,1.2,15.18,4,4,27.3,,25.44,30.3,33.0,28.0,4216,30.52,23.33,8.96,4.92,4,4,53.6,,52.25,54.81,57.4,56.5,70.6,83.7,94.8,111.0,2.3.2 d),8287,6.8,7.8,5.1,0.2,4,4,7.8,,6.8,9.4,8.6,40.9,TS-1,1.95,1.95,14.9,14.9,1.532,1.279,0.511,0.168,617,0,,0,,97.8,98.7,289.2,294.8,0.00595,0.01297,OJSC Aviadgatel,Perm City,05/07/2007,30/08/2007,,"NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,,,
13AA007,13,Aviadvigatel,PS-90A1,194-03-800,MTF,4.4,33.8,169.7,C,,,NME/DTEPS,Yes,,,0.1,0.1,0.16,0.72,4,4,1.4,,1.4,1.46,1.6,8.3,241,0.38,0.4,1.07,12.91,4,4,22.0,,21.1,23.17,23.6,20.0,3739,35.69,26.68,9.88,4.92,4,4,58.0,,55.71,60.94,61.0,56.7,70.9,81.8,91.7,105.7,2.3.2 d),9847,14.1,16.0,13.2,0.6,4,4,16.0,,15.3,17.1,18.8,91.7,TS-1,1.95,1.95,14.9,14.9,1.654,1.354,0.533,0.174,648,0,,0,,97.8,100.8,284,297.5,0.00595,0.01015,OJSC Aviadgatel,Perm City,05/07/2007,22/09/2007,,"NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,,,
13AA008,13,Aviadvigatel,PS-90A2,93-03-800,MTF,4.3,31.2,157.0,C,,,NME,Yes,,,0.11,0.14,0.21,2.88,3,2,5.2,0,4.98,5.55,6.8,34.7,820,0.44,0.65,1.91,16.79,3,2,30.8,0,28.46,31.84,35.1,29.7,4825,32.7,25.52,9.31,4.3,3,2,50.3,0,46.7,53.6,55.4,54.5,68.1,80.7,91.7,105.4,2.3.2 d),7902,15.5,16.2,12.1,1.2,3,2,16.2,0,14.8,18.0,17.6,0.8,TS-1,1.95,1.95,14.3,14.3,1.38,1.117,0.491,0.171,590,0,,0,,97.8,101,275,297.5,0.00267,0.0129,OJSC Aviadgatel,Perm City,05/06/2006,27/06/2006,,"NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,,,
01P04BR013,4,Rolls-Royce Deutschland,BR700-710A2-20,,MTF,4.2,24.2,65.6,C,,,DTEPS,Yes,,,0.02,0.02,0.05,1.12,3,1,2.4,,2.19,2.7,3.8,19.2,160,1.04,0.93,4.81,28,3,1,64.8,,64.31,65.59,79.6,67.4,4239,18.73,15.03,7.67,4.67,3,1,42.5,,41.81,42.91,49.3,55.8,69.7,78.7,84.6,96,2.3.2 e),2784,14.0,11.9,0.3,0.6,3,1,14.0,,12.6,15.2,18,67.6,AVTUR,1.89,1.92,16.4,18,0.714,0.595,0.214,0.089,299,0,,0,,100.9,101.2,282.9,286.7,0.0064,0.0087,BMW Rolls-Royce GmbH,Dahlewitz,19/10/1996,20/10/1996,,Data from Certification report E-TR853/96-(FR) ISS01.,For Canadair Global Express application,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P06BR014,6,Rolls-Royce Deutschland,BR700-710C4-11,Annular,MTF,4.1,25.0,68.8,C,,,DTEPS,Yes,,,0.02,0.02,0.05,2.29,3,1,4.4,,4.19,4.47,6.7,34.2,301,1.04,0.92,4.92,31.57,3,1,64.4,,63.78,64.19,79,67,4449,19.52,15.43,7.71,4.5,3,1,41.4,,40.63,41.9,48,53.4,66.7,76,82.2,93.7,2.3.2 e),2850,14.3,12.4,0.4,0.5,3,1,14.3,,13.1,14.4,18.5,70.4,AVTUR,1.89,1.89,16.4,18,0.747,0.617,0.215,0.083,294,0,,0,,100.9,101.2,282.9,286.7,0.0064,0.0087,BMW Rolls-Royce GmbH,Dahlewitz,19/10/1996,20/10/1996,,Certification report E-TR554/01 - (FR) - 01,For Gulfstream G550 appliaction,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P20BR015,20,Rolls-Royce Deutschland,BR700-710D5-21,Phase5 Tiled,MTF,4.6,33.1,68.4,C,,,DTEPS,Yes,,,0.02,0,0.01,2.13,5,3,3.9,2.4,1.8,6.5,4.5,23.1,265,0.32,0.63,2.84,34.97,5,3,66.2,11.8,54.9,78.4,71.6,60.7,4533,26.63,20.2,9.11,3.07,5,3,45.0,0.6,44.4,45.6,47.7,44.9,56.1,61.8,66.5,73.9,2.3.2 e),3082,2.9,3.5,1.9,1.7,5,3,3.9,1.4,2.4,5,4.3,16.5,,1.94,1.94,15.4,15.4,0.682,0.564,0.197,0.080,275,0,,0,,100.4,102,279.9,287.8,0.00539,0.00777,Rolls-Royce Deutschland,Dahlewitz,29/03/2017,08/11/2018,,Data from Certification Report EDNS 01000729874,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P11BR016,11,Rolls-Royce Deutschland,BR700-725A1-12,Z-ring,MTF,4.4,26.2,75.7,C,,,DTEPS,Yes,,,0,0,0,3,3,1,5.3,0.6,4.6,5.6,8.1,41.3,398,0.4,0.32,5.93,41.9,3,1,77.9,1.6,76.1,79.2,95.7,81.1,5899,16.92,13.32,7.81,3.38,3,1,33.9,2.5,31.2,36.2,39.3,42.6,53.2,61.7,67.9,78.3,,2565,4.2,4.5,0,0.2,3,1,4.5,0.3,4.3,4.9,5.8,22.5,Def. Stan. 91-92,1.94,1.94,18,18,0.789,0.650,0.221,0.085,305,0,,0,,100.5,101,294.7,297.9,0.0076,0.00815,Rolls-Royce Deutschland,Dahlewitz,06/08/2008,06/08/2008,,Data from Certification Report O-TR0053/12-ISS02.,"Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,
01P08CM102,8,CFM International,CFM56-5B1/3,Tech Insertion,TF,5.5,30.2,133.4,C,,,NME,Yes,,,0.03,0.02,0.05,1.37,7,3,1.8,0.3,1.48,2.06,2.1,10.7,240,0.38,0.2,2.53,27.92,7,3,37.4,2.2,34.9,39,40.4,34.2,4984,26.18,19.77,9.28,4.45,7,3,43.1,0.9,42.5,44.1,45.6,45.4,56.8,67.7,76.8,90.3,2.3.2 e),5749,14.9,12.9,2.1,2.1,7,3,14.9,5.5,8.6,18.3,16.4,75,Jet A,1.92,1.93,16.2,17.5,1.318,1.063,0.347,0.109,448,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P08CM103,8,CFM International,CFM56-5B2/3,Tech Insertion,TF,5.5,31.3,137.9,C,,,NME,Yes,,,0.04,0.02,0.05,1.22,7,3,1.6,0.3,1.31,1.85,1.9,9.5,221,0.45,0.23,2.33,26.72,7,3,35.3,2.1,32.9,36.9,38.2,32.4,4870,28.26,20.76,9.42,4.53,7,3,45.5,0.8,44.8,46.3,48.2,47,58.7,69.8,78.3,91.4,2.3.2 e),6268,15.5,13.1,2.1,2.1,7,3,15.5,5.7,8.9,19.2,17.1,78.9,Jet A,1.92,1.93,16.2,17.5,1.385,1.107,0.358,0.111,463,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P08CM104,8,CFM International,CFM56-5B3/3,Tech Insertion,TF,5.4,32.6,142.3,C,,,NME,Yes,,,0.05,0.02,0.05,1.1,7,3,1.4,0.3,1.15,1.67,1.7,8.5,204,0.54,0.25,2.14,25.59,7,3,33.5,2,31.2,35,36.2,30.7,4765,30.9,21.83,9.56,4.6,7,3,48.3,0.6,47.7,48.9,51.2,48.7,60.8,72,79.8,92.6,2.3.2 e),6875,16,13.4,2.1,2.1,7,3,16,6.2,8.9,20.2,17.6,81.9,Jet A,1.92,1.93,16.2,17.5,1.462,1.153,0.369,0.113,478,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01",Also covers CFM56-5B3/3B1,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
