year,energy,manufacturing_industries_and_construction,non_road_transport ,road_transport,other_small_stationary_combustion_and_non_road_mobile_sources_and_machinery,domestic_combustion,other_mobile_combustion_military_aircraft_and_naval_shipping,fugitive_emissions,industrial_processes,agriculture,waste,other,total
1990,817.5163384,353.5095575,169.6647239,1167.444395,141.8452503,83.75378575,38.95517923,4.171665265,16.40850682,44.41263076,6.732424282,0.195522791,2844.60998
1991,748.9280708,355.6201546,168.2773348,1163.60962,147.409397,89.49534999,37.32424679,3.975450549,14.79917724,43.5840418,6.657716958,0.20165331,2779.882214
1992,730.1489404,347.8515503,172.1709058,1137.413969,148.7268414,82.81485554,34.8112222,3.945239479,13.33714187,40.15245607,6.391866976,0.208212271,2717.973201
1993,652.5285367,340.3715864,173.5370551,1091.918799,144.437459,84.4056317,32.30931607,4.20895293,12.11387977,35.35484064,5.864497573,0.204018345,2577.254574
1994,647.9723759,351.6101275,191.7289631,1046.578634,141.2273249,77.86763394,30.26721116,5.074437042,11.93894309,37.16927399,4.950932537,0.208760314,2546.594617
1995,612.831625,337.0035714,198.6889866,1002.229344,143.2649314,70.66172525,30.41196268,5.723619367,9.682081135,37.22238285,5.049804102,0.212606344,2452.98264
1996,558.4770242,316.2403365,201.6082099,968.3436534,147.8516431,76.99566875,30.40598875,5.406955463,9.525468149,37.49552486,5.184539393,0.249039323,2357.784052
1997,472.0999854,308.9418279,198.4716163,922.4961743,136.9367192,69.05049864,31.23555668,4.924332246,9.091906348,37.42483545,2.802082975,0.292062095,2193.767598
1998,469.7250836,319.249233,204.6054564,876.9594832,130.3146612,67.84856436,23.79286232,4.802573567,8.317186679,36.72508237,2.641809137,0.334133204,2145.316129
1999,420.581879,303.9343981,209.2120016,834.9553684,130.3840392,65.36619783,25.23832263,4.249574921,8.480224137,37.32524769,2.547789103,0.349599849,2042.624642
2000,436.8788419,299.9628312,195.89293,775.3708393,124.8767986,64.21845374,24.10439732,4.425753406,8.156710502,34.40919518,2.540038637,0.342326808,1971.179117
2001,472.4740978,288.0674678,184.0246387,730.5994651,119.1754724,64.73259706,22.6513493,4.443864554,6.78163666,32.57355572,3.08924524,0.347235855,1928.960626
2002,466.4199642,251.0366944,184.3996782,694.1423374,115.3140825,60.32440595,21.57450653,4.503516565,4.578776099,32.40090968,2.485241539,0.345469984,1837.525583
2003,493.0605839,253.2493044,176.1045314,658.7195861,107.4484404,59.08603442,23.31762514,3.340820968,4.526454641,32.16239735,2.443064744,0.35386515,1813.812709
2004,471.7262217,252.1979308,172.7288875,631.4895017,109.2954947,59.20268076,24.45164836,3.199207369,4.660342478,31.02752262,2.29780422,0.347608014,1762.62485
2005,490.8348365,249.7752631,169.8925944,601.3770709,110.8201889,54.54207187,22.10415443,3.288690847,4.566842341,29.99162768,2.211960369,0.346993951,1739.752295
2006,497.6287659,235.1297181,162.1218577,577.505142,100.5933027,52.06503664,23.3144705,3.176651014,4.257094125,28.87743731,2.09966657,0.329212424,1687.098355
2007,464.0608528,224.2423011,162.9086322,554.8764209,95.90332164,48.69603192,26.91057411,2.825576735,4.530560186,27.81480843,2.002479614,0.329864247,1615.101424
2008,384.1390625,190.0436391,154.1953212,513.8587299,100.5337202,48.57448074,25.28716967,2.974589448,4.569326844,27.23330281,1.877726188,0.334262842,1453.621331
2009,344.6202536,158.1508823,146.4752589,428.3164209,87.01512073,46.68957182,24.4767715,2.679403677,3.798220846,27.29445647,1.855938779,0.330658547,1271.702958
2010,336.2266545,163.0304411,140.1788774,405.7695623,83.93017255,50.79855022,24.51466701,2.708778386,3.804093998,27.9207582,1.832266179,0.355631902,1241.070454
2011,316.885695,154.5465284,134.4316013,378.5439192,71.09089283,41.98470816,22.72494526,2.591045255,3.642010904,28.07546863,1.808899019,0.350715613,1156.67643
2012,362.2312103,154.0424237,125.0578492,363.0189899,78.09741897,44.79306169,20.7131346,2.112373632,2.780073674,27.61630097,1.761435283,0.345628345,1182.5699
2013,343.3180911,145.3158938,118.1379663,345.3953017,70.2930295,45.56128355,18.86693378,2.506752235,3.070392708,28.28146414,1.757280356,0.349995489,1122.854385
2014,293.6000825,140.0343329,120.6497413,336.350671,66.56730419,38.29807936,16.26283258,2.313836545,3.08421013,29.45281987,1.688231446,0.341828225,1048.64397
2015,263.7199699,142.0975064,123.423251,323.7048887,66.17436172,39.48135307,13.06103317,2.337826337,2.837157626,28.78465433,1.687763414,0.345804931,1007.655571
2016,192.3289316,140.7296416,121.8936992,310.5421403,62.79061076,40.00633157,12.46772044,2.239340218,2.692164679,27.95353794,1.630899586,0.345804931,915.6208229
2017,172.5799643,143.2651358,120.3919582,296.4373646,60.34394886,38.39757236,13.11504222,2.394395433,2.874725218,28.87472709,1.644988366,0.345804931,880.6656273
2018,153.9578884,146.1103959,119.8515487,272.2446895,57.76738099,39.28285962,13.76099311,2.313083517,2.716932907,28.59443862,1.568809052,0.345804931,838.5148253
2019,143.0903464,137.1819065,118.4328642,246.9155477,52.86310988,37.28005218,13.16766167,2.164139553,2.611822706,28.65736711,1.712135946,0.345804931,784.4227588
2020,136.3291327,136.1871753,92.09721472,183.3016497,47.29748822,36.81326095,10.40190901,1.986213993,2.556534417,26.7558197,1.778771612,0.345804932,675.8509752
2021,128.2505282,134.5750677,93.53148718,184.8927029,49.27973846,38.58088292,14.1899625,1.514878418,2.680292007,27.44290204,1.781936992,0.345804932,677.0661842
