"","min_power","max_power","directive","CP_type","PM_ELV_mg_Nm3","efficiency","conversion_factor","converted_pm_g_kwh","converted_pm_g_kwh_max_efficiency","converted_pm_g_kwh_min_efficiency","avg_power"
"1",1,5,"MCP","Gas Turbine",NA,0.5,992,NA,NA,NA,3
"2",1,5,"MCP","Gas Engine",NA,0.5,992,NA,NA,NA,3
"3",1,5,"MCP","Gas Boiler",NA,0.5,992,NA,NA,NA,3
"4",1,5,"MCP","Biomass Boiler",50,0.36,722,0.192366882117575,0.0728969237498178,0.23084025854109,3
"5",1,5,"MCP","Coal Boiler",50,0.36,767,0.181080689555266,0.0686200507788376,0.217296827466319,3
"6",5,20,"MCP","Gas Turbine",NA,0.5,992,NA,NA,NA,12.5
"7",5,20,"MCP","Gas Engine",NA,0.5,992,NA,NA,NA,12.5
"8",5,20,"MCP","Gas Boiler",NA,0.5,992,NA,NA,NA,12.5
"9",5,20,"MCP","Biomass Boiler",50,0.36,722,0.192366882117575,0.0728969237498178,0.23084025854109,12.5
"10",5,20,"MCP","Coal Boiler",50,0.36,767,0.181080689555266,0.0686200507788376,0.217296827466319,12.5
"11",20,50,"MCP","Gas Turbine",NA,0.5,992,NA,NA,NA,35
"12",20,50,"MCP","Gas Engine",NA,0.5,992,NA,NA,NA,35
"13",20,50,"MCP","Gas Boiler",NA,0.5,992,NA,NA,NA,35
"14",20,50,"MCP","Biomass Boiler",30,0.36,722,0.115420129270545,0.0437381542498907,0.138504155124654,35
"15",20,50,"MCP","Coal Boiler",30,0.36,767,0.108648413733159,0.0411720304673025,0.130378096479791,35
"16",50,100,"IED","Gas Turbine",NA,0.5,992,NA,NA,NA,75
"17",50,100,"IED","Gas Engine",NA,0.5,992,NA,NA,NA,75
"18",50,100,"IED","Gas Boiler",5,0.5,992,0.0100806451612903,0.00530560271646859,0.0168010752688172,75
"19",50,100,"IED","Biomass Boiler",30,0.36,722,0.115420129270545,0.0437381542498907,0.138504155124654,75
"20",50,100,"IED","Coal Boiler",30,0.36,767,0.108648413733159,0.0411720304673025,0.130378096479791,75
"21",100,300,"IED","Gas Turbine",NA,0.5,992,NA,NA,NA,200
"22",100,300,"IED","Gas Engine",NA,0.5,992,NA,NA,NA,200
"23",100,300,"IED","Gas Boiler",5,0.5,992,0.0100806451612903,0.00530560271646859,0.0168010752688172,200
"24",100,300,"IED","Biomass Boiler",20,0.36,722,0.0769467528470299,0.0291587694999271,0.0923361034164358,200
"25",100,300,"IED","Coal Boiler",25,0.36,767,0.0905403447776329,0.0343100253894188,0.10864841373316,200
"26",300,3000,"IED","Gas Turbine",NA,0.5,992,NA,NA,NA,1650
"27",300,3000,"IED","Gas Engine",NA,0.5,992,NA,NA,NA,1650
"28",300,3000,"IED","Gas Boiler",5,0.5,992,0.0100806451612903,0.00530560271646859,0.0168010752688172,1650
"29",300,3000,"IED","Biomass Boiler",20,0.36,722,0.0769467528470299,0.0291587694999271,0.0923361034164358,1650
"30",300,3000,"IED","Coal Boiler",20,0.36,767,0.0724322758221063,0.027448020311535,0.0869187309865276,1650
