category,product,snap_code,fuel,power_min,power_max,NRMM_engine_sub_cat_min ,nox_limit_min_cat_gkwh,NRMM_engine_sub_cat_max,nox_limit_max_cat_gkwh,,,,engine_sub_category,fuel,nox_limit
Industry,Pilers,80700,Diesel,56,,NRE-5,0.4,,,,,,NRE-1,Diesel,6.729634002
Industry,Asphalt pavers/concrete pavers ,80801,Diesel,15,160,NRE-2,6.729634002,NRE-5,0.4,,,,NRE-2,Diesel,6.729634002
Industry,Plate compactor/tampers/rammers ,80802,4SG,1,3,NRE-1,1.539379475,,,,,,NRE-3,Diesel,4.223349057
Industry,Plate compactor/tampers/rammers ,80802,Diesel,2,21,NRE-1,6.729634002,NRE-3,4.223349057,,,,NRE-4,Diesel,4.304567308
Industry,Plate compactor/tampers/rammers ,80802,2SG,1,3,NRE-1,0.022542831,,,,,,NRE-5,Diesel,0.4
Industry,Rollers,80803,Diesel,2,390,NRE-1,6.729634002,NRE-6,0.4,,,,NRE-6,Diesel,0.4
Industry,Rollers (Modern),80803,Diesel,2,55,NRE-1,6.729634002,NRE-4,4.304567308,,,,NRE-7,Diesel,3.5
Industry,Trenchers/mini excavators ,80804,Diesel,10,40,NRE-2,6.729634002,NRE-4,4.304567308,,,,NRG-1,Diesel,0.67
Industry,Excavators (wheel /crawler type) - Medium,80805,Diesel,50,500,NRE-4,4.304567308,NRE-6,0.4,,,,NRSh-1,Diesel,44.86422668
Industry,Excavators (wheel /crawler type) - Large,80805,Diesel,500,3000,NRE-6,0.4,NRE-7,3.5,,,,NRE-1,2SG,0.022542831
Industry,Cement and mortar mixers - Small,80806,Electric,1,7.5,NRE-1,,,,,,,NRE-2,2SG,0.020969245
Industry,Cement and mortar mixers - Large,80806,4SG,1,7.5,NRE-1,1.539379475,,,,,,NRE-3,2SG,0.013140727
Industry,Cement and mortar mixers - Small,80806,Diesel,5,40,NRE-1,6.729634002,NRE-4,4.304567308,,,,NRE-4,2SG,0.016414435
Industry,Cranes,80807,Generator,100,250,NRE-5,,NRE-6,,,,,NRE-5,2SG,0.4
Industry,Graders,80808,Diesel,50,190,NRE-4,4.304567308,NRE-6,0.4,,,,NRE-6,2SG,0.4
Industry,Scrapers,80808,Diesel,130,700,NRE-6,0.4,NRE-7,3.5,,,,NRE-7,2SG,3.5
Industry,Off-highway trucks,80809,Diesel,300,500,NRE-6,0.4,,,,,,NRG-1,2SG,0.67
Industry,Bulldozers,80810,Diesel,30,250,NRE-5,0.4,NRE-6,0.4,,,,NRSh-1,2SG,1.543845204
